year,month,city,searched
2016,5,三门峡,508678
2016,6,三门峡,514335
2016,7,三门峡,567547
2016,8,三门峡,520703
2016,9,三门峡,512027
2016,10,三门峡,515124
2016,11,三门峡,467695
2016,12,三门峡,527401
2017,1,三门峡,462876
2017,2,三门峡,469326
2017,3,三门峡,454276
2017,4,三门峡,422676
2017,5,三门峡,678295
2017,6,三门峡,458328
2017,7,三门峡,563094
2017,8,三门峡,566144
2017,9,三门峡,471936
2017,10,三门峡,549427
2017,11,三门峡,451624
2017,12,三门峡,548405
2018,1,三门峡,492322
2018,2,三门峡,473115
2018,3,三门峡,538864
2018,4,三门峡,546808
2018,5,三门峡,496956
2018,6,三门峡,437693
2018,7,三门峡,470940
2018,8,三门峡,496226
2018,9,三门峡,377393
2018,10,三门峡,458577
2018,11,三门峡,416672
2018,12,三门峡,426428
2019,1,三门峡,425304
2019,2,三门峡,441576
2019,3,三门峡,474038
2019,4,三门峡,476534
2019,5,三门峡,483228
2019,6,三门峡,443231
2019,7,三门峡,612574
2019,8,三门峡,503046
2019,9,三门峡,418810
2019,10,三门峡,415705
2019,11,三门峡,396590
2019,12,三门峡,407508
2020,1,三门峡,432385
2020,2,三门峡,403776
2020,3,三门峡,418692
2020,4,三门峡,398452
2020,5,三门峡,397767
2020,6,三门峡,421206
2020,7,三门峡,512864
2020,8,三门峡,479694
2020,9,三门峡,471143
2020,10,三门峡,438898
2020,11,三门峡,394780
2020,12,三门峡,430902
2021,1,三门峡,445619
2021,2,三门峡,367087
2021,3,三门峡,453001
2021,4,三门峡,444796
2021,5,三门峡,530520
2021,6,三门峡,427899
2021,7,三门峡,511674
2021,8,三门峡,450687
2021,9,三门峡,415032
2021,10,三门峡,423641
2021,11,三门峡,367446
2021,12,三门峡,408594
2022,1,三门峡,462318
2022,2,三门峡,393129
2022,3,三门峡,431302
2022,4,三门峡,395666
2022,5,三门峡,379005
2022,6,三门峡,396862
2022,7,三门峡,405789
2022,8,三门峡,499247
2022,9,三门峡,397391
2022,10,三门峡,385219
2022,11,三门峡,360639
2022,12,三门峡,338358
2023,1,三门峡,515534
2023,2,三门峡,367343
2023,3,三门峡,429590
2023,4,三门峡,406763
2023,5,三门峡,391088
2023,6,三门峡,397383
2023,7,三门峡,443985
2023,8,三门峡,441053
2023,9,三门峡,389296
2023,10,三门峡,372677
2023,11,三门峡,357244
2023,12,三门峡,367378
2011,1,上海,904183
2011,2,上海,851456
2011,3,上海,956340
2011,4,上海,947337
2011,5,上海,999120
